<<<<<<< HEAD
Zooniverse ID,HD Number,WISE ID,SpType,Btmag,Bterr,Vtmag,Vterr,Bt-Vt,,Bmag,Berr,Vmag,Verr,Gmag,Gmagerr,Jmag,Jmagerr,w4xs,w4xs_err,Notes,,W1mag,W1err,W1cormag,dW1cor/dW1mag,W1corerr,W4mag,W4err,W4new,W4new_err,W4use,W4use_err,,,,,,,,,,,
AWI0005z1i,170575,J183504.55-661033.0,F0V,9.3,0.02,9.02,0.01,0.28,0.02236068,9.24,0.02,8.99,0.01,,,8.457,0.026,0.886,0.111,,,8.256,0.022,8.256,1,0.022,7.37,0.109,,,7.37,0.109,,AWI0005z1i,J183504.55-661033.0,8.457,,,,,,,
AWI0005yfu,      ,J223445.16+375006.0,,11.11,0.06,10.82,0.06,0.29,0.084852814,11.05,0.1,10.79,0.06,10.87,0.005,10.508,0.022,4.558,0.049,,,10.354,0.022,10.354,1,0.022,5.796,0.044,,,5.796,0.044,,AWI0005yfu,      ,J223445.16+375006.0,10.508,0.022,,,,,
AWI0005yk3,19257,J030651.95+303136.8,,7.35,0.01,7.06,0.01,0.29,0.014142136,7.29,0.02,7.03,0.01,7.01,0.001,6.470,0.020,2.104,0.047,,,6.371,0.036,6.363,1.0102934,0.036,4.259,0.029,,,4.259,0.029,,AWI0005yk3,19257,J030651.95+303136.8,6.470,0.020,,,,,
AWI00055xr,      ,J054733.26+521144.5,,9.99,0.02,9.7,0.02,0.29,0.028284271,9.93,0.03,9.67,0.02,9.491,0.001,8.788,0.019,2.205,0.051,,,8.169,0.023,8.169,1,0.023,5.964,0.045,,,5.964,0.045,,AWI00055xr,      ,J054733.26+521144.5,8.788,0.019,,,,,
AWI00056ck,106473,J121456.32-475654.6,A6III,8.39,0.01,8.1,0.01,0.29,0.014142136,8.33,0.02,8.07,0.01,,,7.527,0.024,1.549,0.046,,,7.377,0.027,7.377,1.0056658,0.027,5.828,0.037,,,5.828,0.037,,AWI00056ck,J121456.32-475654.6,7.527,,,,,,,
AWI0005yp1,,J052104.79-102057.0,A5,10.07,0.03,9.78,0.03,0.29,0.042426407,10.01,0.05,9.75,0.03,9.651,0.001,9.067,0.029,2.955,0.051,,,8.797,0.023,8.797,1,0.023,5.842,0.046,,,5.842,0.046,,AWI0005yp1,J052104.79-102057.0,9.067,,,,,,,
AWI0005w6v,13563,J021327.01+421923.3,,9.42,0.02,9.11,0.02,0.31,0.028284271,9.36,0.03,9.07,0.02,9.15,0.001,8.701,0.018,1.588,0.111,,,8.58,0.024,8.580,1,0.024,6.992,0.108,,,6.992,0.108,,AWI0005w6v,13563,J021327.01+421923.3,8.701,0.018,,,,,
AWI0000nxi,10324,J014113.00+163051.7,,8.82,0.02,8.5,0.01,0.32,0.02236068,8.76,0.02,8.46,0.01,,,7.894,0.021,1.432,0.060,,,7.707,0.024,7.709,1.0041478,0.024,6.277,0.055,,,6.277,0.055,,AWI0000nxi,10324,J014113.00+163051.7,7.894,0.021,,,,,
AWI0005ag4,      ,J062612.83+473232.1,,11.65,0.07,11.33,0.09,0.32,0.114017543,11.59,0.14,11.29,0.09,11.075,0.013,10.467,0.020,4.530,0.031,,,7.71,0.024,7.712,1.004134,0.024,3.182,0.019,,,3.182,0.019,,AWI0005ag4,      ,J062612.83+473232.1,10.467,0.020,,,,,
AWI0005byy,194931,J202222.87+730903.7,,8.52,0.02,8.2,0.01,0.32,0.02236068,8.46,0.02,8.16,0.01,8.119,0.001,7.589,0.027,1.223,0.050,,,7.405,0.029,7.405,1.005537,0.029,6.182,0.04,,,6.182,0.04,,AWI0005byy,194931,J202222.87+730903.7,7.589,0.027,,,,,
AWI0005844,155142,J171043.91-220016.7,A2/3IV,9.3,0.02,8.94,0.02,0.36,0.028284271,9.23,0.03,8.9,0.02,8.813,0.001,8.103,0.021,2.843,0.046,,,7.849,0.023,7.851,1.0034946,0.023,5.008,0.04,,,5.008,0.04,,AWI0005844,J171043.91-220016.7,8.103,,,,,,,
AWI0005ylv,22614,J033900.56+294145.6,,11.04,0.07,10.67,0.07,0.37,0.098994949,10.97,0.12,10.63,0.07,10.539,0.002,9.660,0.026,5.651,0.033,,,7.591,0.025,7.592,1.0046814,0.025,1.941,0.022,,,1.941,0.022,,AWI0005ylv,22614,J033900.56+294145.6,9.660,0.026,,,,,
AWI0005w9s,281395,J035958.81+312901.0,,10.51,0.03,10.13,0.03,0.38,0.042426407,10.44,0.05,10.09,0.03,9.997,0.003,9.194,0.018,2.702,0.060,,,8.938,0.023,8.938,1,0.023,6.236,0.055,,,6.236,0.055,,AWI0005w9s,281395,J035958.81+312901.0,9.194,0.018,,,,,
AWI0005aeg,      ,J013833.77+780834.3,,10.18,0.03,9.78,0.03,0.4,0.042426407,10.11,0.05,9.73,0.03,9.642,0.003,8.915,0.030,1.234,0.067,,,8.187,0.023,8.187,1,0.023,6.953,0.063,,,6.953,0.063,,AWI0005aeg,      ,J013833.77+780834.3,8.915,0.030,,,,,
AWI00002yt,157165,J172007.53+354103.6,,8.68,0.02,8.27,0.01,0.41,0.02236068,8.61,0.02,8.22,0.01,,,7.496,0.020,0.439,0.076,,,7.248,0.03,7.247,1.0062592,0.030,6.808,0.07,,,6.808,0.07,,AWI00002yt,157165,J172007.53+354103.6,7.496,0.020,,,,,
AWI00062bl,22128,J033337.91-072453.8,,7.97,0.02,7.56,0.01,0.41,0.02236068,7.9,0.02,7.51,0.01,7.494,0.001,6.919,0.024,0.836,0.063,,,6.685,0.04,6.680,1.008849,0.040,5.844,0.048,,,5.844,0.048,,AWI00062bl,22128,J033337.91-072453.8,6.919,0.024,,,,,
AWI000437j,95911,J110245.01-632940.4,F0V,9.69,0.02,9.26,0.02,0.43,0.028284271,9.61,0.03,9.21,0.02,9.107,0.001,8.377,0.021,1.165,0.059,,,8.093,0.023,8.093,1,0.023,6.928,0.054,,,6.928,0.054,,AWI000437j,J110245.01-632940.4,8.377,,,,,,,
AWI0002mxe,349734,J190638.88+203326.9,,11.88,0.08,11.44,0.08,0.44,0.113137085,11.8,0.13,11.39,0.08,11.551,0.001,10.991,0.025,4.652,0.052,,,10.91,0.023,10.910,1,0.023,6.258,0.047,,,6.258,0.047,,AWI0002mxe,349734,J190638.88+203326.9,10.991,0.025,,,,,
AWI0005av7,128737,J143944.28-402206.3,F3V,9.47,0.02,9.03,0.02,0.44,0.028284271,9.39,0.03,8.98,0.02,8.909,0.001,8.174,0.027,0.759,0.101,,,7.857,0.023,7.859,1.0034578,0.023,7.1,0.098,,,7.1,0.098,,AWI0005av7,J143944.28-402206.3,8.174,,,,,,,
AWI0005wcz,32813,J050610.47+062929.2,,10.28,0.04,9.82,0.03,0.46,0.05,10.2,0.05,9.77,0.03,9.734,0.001,8.973,0.027,2.486,0.055,,,8.627,0.023,8.627,1,0.023,6.141,0.05,,,6.141,0.05,,AWI0005wcz,32813,J050610.47+062929.2,8.973,0.027,,,,,
AWI0005ymi,26572,J041249.03+193219.2,,8.24,0.02,7.78,0.01,0.46,0.02236068,8.16,0.02,7.73,0.01,7.641,0.001,6.795,0.021,0.816,0.064,,,6.483,0.038,6.476,1.0097782,0.038,5.66,0.051,,,5.66,0.051,,AWI0005ymi,26572,J041249.03+193219.2,6.795,0.021,,,,,
AWI0005igi,157587,J172452.23-185133.5,F5V,8.96,0.02,8.5,0.01,0.46,0.02236068,8.88,0.02,8.45,0.01,8.335,0.001,7.57,0.024,1.995,0.044,,,7.289,0.026,7.289,1.0060706,0.026,5.294,0.036,,,5.294,0.036,,AWI0005igi,J172452.23-185133.5,7.57,,,,,,,
AWI0005zv8,204173,J212636.95+075307.6,,8.74,0.02,8.27,0.01,0.47,0.02236068,8.66,0.02,8.22,0.01,8.13,0.001,7.355,0.032,2.782,0.039,,,6.959,0.032,6.956,1.0075886,0.032,4.174,0.022,,,4.174,0.022,,AWI0005zv8,204173,J212636.95+075307.6,7.355,0.032,,,,,
AWI000621a,198472,J205241.67-531624.8,F5/6V,8.13,0.02,7.66,0.01,0.47,0.02236068,8.05,0.02,7.61,0.01,,,6.807,0.020,0.494,0.064,,,6.543,0.043,6.537,1.0095022,0.043,6.043,0.047,,,6.043,0.047,,AWI000621a,J205241.67-531624.8,6.807,,,,,,,
AWI0000hog,215294,J224414.01-090123.9,,9.46,0.02,8.98,0.02,0.48,0.028284271,9.38,0.03,8.93,0.02,8.842,0.002,8.081,0.021,1.477,0.072,,,7.806,0.023,7.808,1.0036924,0.023,6.331,0.068,,,6.331,0.068,,AWI0000hog,215294,J224414.01-090123.9,8.081,0.021,,,7.782,5.761,2.021
AWI00017os,230767,J190901.24+110641.3,,10.72,0.05,10.21,0.04,0.51,0.064031242,10.63,0.07,10.15,0.04,9.825,0.004,8.524,0.027,2.050,0.053,,,7.793,0.023,7.795,1.0037522,0.023,5.745,0.048,,,5.745,0.048,,AWI00017os,230767,J190901.24+110641.3,8.524,0.027,,,,,
AWI0005f32,120178,J134909.18-541342.3,F5V,9.4,0.02,8.89,0.01,0.51,0.02236068,9.31,0.02,8.84,0.01,8.744,0.001,7.938,0.024,0.603,0.075,,,7.561,0.025,7.562,1.0048194,0.025,6.959,0.071,,,6.959,0.071,,AWI0005f32,J134909.18-541342.3,7.938,,,,,,,
AWI0005wku,,J053628.55+000445.6,,12.92,0.24,12.39,0.18,0.53,0.3,12.82,0.31,12.33,0.18,11.786,0.003,10.762,0.024,4.877,0.036,,,9.286,0.023,9.286,1,0.023,4.409,0.028,,,4.409,0.028,,AWI0005wku,J053628.55+000445.6,10.762,,,,,,,
AWI00062mq,,J011743.47-523330.8,F3Ve,11.28,0.06,10.75,0.05,0.53,0.078102497,11.18,0.08,10.69,0.05,10.746,0.001,10.01,0.024,6.243,0.030,,,8.687,0.022,8.687,1,0.022,2.444,0.02,,,2.444,0.02,,AWI00062mq,J011743.47-523330.8,10.01,,,,,,,
AWI0005zyr,24041,J035007.87+095528.1,,8.72,0.02,8.19,0.01,0.53,0.02236068,8.62,0.02,8.13,0.01,8.079,0.003,7.114,0.018,1.276,0.053,,,6.754,0.036,6.750,1.0085316,0.036,5.474,0.039,,,5.474,0.039,,AWI0005zyr,24041,J035007.87+095528.1,7.114,0.018,,,,,
AWI00001l8,      ,J173254.69+404312.3,,11.94,0.12,11.38,0.1,0.56,0.156204994,11.84,0.17,11.32,0.1,11.497,0.001,10.541,0.020,2.922,0.112,,,10.202,0.024,10.202,1,0.024,7.28,0.109,,,7.28,0.109,,AWI00001l8,      ,J173254.69+404312.3,10.541,0.020,,,,,
AWI0005web,290380,J052331.01-010423.6,,10.97,0.06,10.41,0.05,0.56,0.078102497,10.86,0.09,10.35,0.05,10.241,0.002,9.147,0.021,5.121,0.042,,,6.941,0.035,6.938,1.0076714,0.035,1.817,0.022,,,1.817,0.022,,AWI0005web,290380,J052331.01-010423.6,9.147,0.021,,,,,
AWI0005b4j,146647,J161808.54-224218.7,F3IV/V,10.36,0.04,9.79,0.03,0.57,0.05,10.25,0.05,9.73,0.03,9.57,0.00049,8.529,0.024,1.403,0.082,,,8.036,0.023,8.036,1,0.023,6.633,0.079,,,6.633,0.079,,AWI0005b4j,J161808.54-224218.7,8.529,,,,,,,
AWI000047d,      ,J164837.40+351209.3,,11.71,0.07,11.13,0.07,0.58,0.098994949,11.6,0.11,11.07,0.07,9.984,0.024,9.984,0.024,3.940,0.033,,,8.592,0.023,8.592,1,0.023,4.652,0.024,,,4.652,0.024,,AWI000047d,      ,J164837.40+351209.3,9.984,0.024,,8.153,,,
AWI0005gnp,150972,J164540.79-310226.6,G0/2V,10.27,0.04,9.67,0.04,0.6,0.056568542,10.15,0.06,9.61,0.04,9.478,0.002,8.572,0.023,2.110,0.056,,,8.182,0.024,8.182,1,0.024,6.072,0.051,,,6.072,0.051,,AWI0005gnp,J164540.79-310226.6,8.572,,,,,,,
AWI0005wbq,285893,J043630.82+184215.2,,10.62,0.05,10.01,0.04,0.61,0.064031242,10.5,0.07,9.95,0.04,9.855,0.003,8.764,0.019,5.721,0.037,,,7.153,0.031,7.152,1.0066962,0.031,1.431,0.019,,,1.431,0.019,,AWI0005wbq,285893,J043630.82+184215.2,8.764,0.019,,,,,
AWI0005yrn,,J053844.06-111411.1,,12.12,0.15,11.46,0.1,0.66,0.180277564,11.99,0.18,11.39,0.1,,,10.008,0.023,5.030,0.030,,,8.83,0.023,8.830,1,0.023,3.8,0.02,,,3.8,0.02,,AWI0005yrn,J053844.06-111411.1,10.008,,,,,,,
AWI0005yrp,,J054011.76-094211.1,A7V,12.08,0.16,11.42,0.11,0.66,0.194164878,11.96,0.2,11.35,0.11,11.766,0.029,10.017,0.024,5.216,0.033,,,7.348,0.028,7.348,1.0057992,0.028,2.132,0.017,,,2.132,0.017,,AWI0005yrp,J054011.76-094211.1,10.017,,,,,,,
AWI0001ps3,      ,J205207.92+484956.9,,10.53,0.04,9.85,0.03,0.68,0.05,10.39,0.05,9.78,0.03,9.556,0.001,8.278,0.063,0.938,0.071,,,7.786,0.023,7.788,1.0037844,0.023,6.85,0.067,,,6.85,0.067,,AWI0001ps3,      ,J205207.92+484956.9,8.278,0.063,,,,,
AWI00055vo,      ,J031738.10+731810.2,,10.93,0.04,10.25,0.03,0.68,0.05,10.8,0.05,10.18,0.03,9.943,0.002,8.753,0.020,1.627,0.087,,,8.355,0.023,8.355,1,0.023,6.728,0.084,,,6.728,0.084,,AWI00055vo,      ,J031738.10+731810.2,8.753,0.020,,,,,
AWI0005cyr,129730,J144458.63-280251.9,G3V,9.18,0.02,8.5,0.01,0.68,0.02236068,9.04,0.02,8.43,0.01,,,7.139,0.020,0.450,0.064,,,6.659,0.039,6.654,1.0089686,0.039,6.204,0.051,,,6.204,0.051,,AWI0005cyr,J144458.63-280251.9,7.139,,,,,,,
AWI0005wd8,      ,J051143.75+122012.5,,10.32,0.04,9.62,0.03,0.7,0.05,10.18,0.05,9.55,0.03,9.324,0.011,8.171,0.021,1.252,0.083,,,7.773,0.024,7.775,1.0038442,0.024,6.523,0.079,,,6.523,0.079,,AWI0005wd8,      ,J051143.75+122012.5,8.171,0.021,,,,,
AWI0005ypj,      ,J052437.25-084201.9,,10.55,0.04,9.81,0.03,0.74,0.05,10.4,0.05,9.73,0.03,9.601,0.003,8.403,0.020,6.766,0.029,,,7.862,0.024,7.864,1.0034348,0.024,1.098,0.017,,,1.098,0.017,,AWI0005ypj,      ,J052437.25-084201.9,8.403,0.020,,,,,
AWI0002d1k,      ,J235734.08+662553.7,,10.95,0.05,10.17,0.04,0.78,0.064031242,10.79,0.07,10.09,0.04,,,8.638,0.027,1.507,0.064,,,8.149,0.024,8.149,1,0.024,6.642,0.059,,,6.642,0.059,,AWI0002d1k,      ,J235734.08+662553.7,8.638,0.027,,,,,
AWI0005bew,,J170737.21-062607.2,,11.06,0.07,10.23,0.04,0.83,0.080622577,10.89,0.08,10.14,0.04,9.729,0.001,8.208,0.026,1.575,0.053,,,7.542,0.025,7.543,1.0049068,0.025,5.968,0.047,,,5.968,0.047,,AWI0005bew,J170737.21-062607.2,8.208,,,,,,,
AWI0002dmo,,J113505.30-554840.3,,11.64,0.09,10.71,0.06,0.93,0.108166538,11.44,0.11,10.62,0.06,10.303,0.004,8.626,0.020,5.075,0.032,,,7.299,0.028,7.299,1.0060246,0.028,2.224,0.015,,,2.224,0.015,,AWI0002dmo,J113505.30-554840.3,8.626,,,,,,,
AWI0000qxd,      ,J152527.16+284914.6,,12.08,0.14,11.12,0.07,0.96,0.156524758,11.86,0.14,11.03,0.07,10.75,0.001,9.344,0.018,1.016,0.094,,,8.586,0.023,8.586,1,0.023,7.57,0.091,,,7.57,0.091,,AWI0000qxd,      ,J152527.16+284914.6,9.344,0.018,,,,,
AWI0000tpu,      ,J153716.27+331834.4,,12.83,0.27,11.81,0.14,1.02,0.304138127,12.61,0.28,11.71,0.14,11.487,0.003,9.999,0.021,1.654,0.104,,,9.246,0.023,9.246,1,0.023,7.592,0.101,,,7.592,0.101,,AWI0000tpu,      ,J153716.27+331834.4,9.999,0.021,,,,,
AWI0000wqx,      ,J132217.71+623337.9,,12.3,0.19,11.24,0.08,1.06,0.206155281,12.05,0.18,11.14,0.08,10.753,0.001,9.393,0.021,3.588,0.035,,,8.67,0.023,8.670,1,0.023,5.082,0.026,,,5.082,0.026,,AWI0000wqx,      ,J132217.71+623337.9,9.393,0.021,,,,,
AWI0000jcg,,J230112.67-585821.9,,13.07,0.2,12.01,0.11,1.06,0.228254244,12.83,0.21,11.91,0.11,11.94,0.041,10.126,0.023,3.048,0.072,,,9.571,0.024,9.571,1,0.024,6.523,0.068,,,6.523,0.068,,AWI0000jcg,J230112.67-585821.9,10.126,,,,,,,
AWI0005bwq,      ,J192437.52+563454.9,,11.03,0.06,9.88,0.03,1.15,0.067082039,10.77,0.06,9.77,0.03,9.46,0.001,7.900,0.024,0.543,0.063,,,7.096,0.033,7.094,1.0069584,0.033,6.551,0.053,,,6.551,0.053,,AWI0005bwq,      ,J192437.52+563454.9,7.900,0.024,,,,,
AWI0006235,,J214241.32-013159.7,K0,11.15,0.08,9.98,0.04,1.17,0.089442719,10.88,0.08,9.87,0.04,9.615,0.002,8.077,0.021,0.911,0.070,,,7.296,0.029,7.296,1.0060384,0.029,6.385,0.064,,,6.385,0.064,,AWI0006235,J214241.32-013159.7,8.077,,,,,,,
AWI00062m4,      ,J004826.42+020753.0,,11.48,0.09,10.26,0.04,1.22,0.098488578,11.2,0.09,10.14,0.04,9.952,0.001,8.490,0.026,2.295,0.049,,,7.685,0.024,7.687,1.004249,0.024,5.392,0.043,,,5.392,0.043,,AWI00062m4,      ,J004826.42+020753.0,8.490,0.026,,,,,
AWI0006228,      ,J211412.49-015843.1,,11.56,0.15,10.31,0.06,1.25,0.161554944,11.27,0.13,10.19,0.06,9.792,0.042,7.820,0.019,0.943,0.053,,,6.529,0.04,6.523,1.0095666,0.040,5.58,0.035,,,5.58,0.035,,AWI0006228,      ,J211412.49-015843.1,7.820,0.019,,,,,
AWI00000om,      ,J173129.67+601156.1,,12.5,0.24,11.18,0.08,1.32,0.252982213,12.19,0.22,11.05,0.08,10.712,0.001,8.890,0.023,1.125,0.064,,,7.941,0.024,7.944,1.0030714,0.024,6.819,0.059,,,6.819,0.059,,AWI00000om,      ,J173129.67+601156.1,8.890,0.023,,-0.1359,,,
AWI0002ao1,      ,J182614.45-013250.8,,12.24,0.26,10.82,0.08,1.42,0.27202941,,,10.023,0.002,,,7.800,0.032,0.454,0.065,,,6.76,0.03,6.756,1.008504,0.030,6.302,0.057,,,6.302,0.057,,AWI0002ao1,      ,J182614.45-013250.8,7.800,0.032,,,,,
AWI0000us7,      ,J142409.74+581826.3,,13.56,0.38,12.02,0.16,1.54,0.412310563,13.22,0.54,11.92,0.43,11.192,0.022,8.835,0.026,1.240,0.058,,,7.699,0.025,7.701,1.0041846,0.025,6.461,0.052,,,6.461,0.052,,AWI0000us7,      ,J142409.74+581826.3,8.835,0.026,,,,,
AWI0000vag,      ,J145820.26+150229.3,,12.8,0.49,10.51,0.08,2.29,0.496487663,13.96,4.44,12.3,4.43,,,7.433,0.020,0.543,0.062,,,6.187,0.048,6.177,1.0111398,0.049,5.634,0.038,,,5.634,0.038,,AWI0000vag,      ,J145820.26+150229.3,7.433,0.020,,,,,
=======
Zooniverse ID,HD Number,WISE ID,SpType,Btmag,Bterr,Vtmag,Vterr,Bt-Vt,,Bmag,Berr,Vmag,Verr,Gmag,Gmagerr,Jmag,Jmagerr,w4xs,w4xs_err,Notes,,W1mag,W1err,W1cormag,dW1cor/dW1mag,W1corerr,W4mag,W4err,W4new,W4new_err,W4use,W4use_err,,,,,,,,,,,
AWI0005w77,      ,J023720.84+395345.8,,6.409,0.014,6.522,0.01,-0.113,,6.43,0.02,6.54,0.01,,,6.679,0.023,1.082,0.056,,,6.844,0.037,6.840,1.0081176,0.037,5.758,0.042,,,5.758,0.042,,AWI0005w77,      ,J023720.84+395345.8,6.679,0.023,,,,,
AWI00062kw,220529,J232421.82+061110.7,A0,7.07,0.01,7.17,0.01,-0.1,,7.09,0.02,7.18,0.01,,,7.285,0.018,1.240,0.072,,,7.404,0.028,7.404,1.0055416,0.028,6.164,0.066,,,6.164,0.066,,AWI00062kw,J232421.82+061110.7,7.285,,,,,,,
AWI0005zil,,J055417.57-383951.1,,11.7,0.08,11.79,0.15,-0.09,,11.72,0.22,11.8,0.15,11.67,0.008,11.312,0.024,3.858,0.048,,,10.067,0.024,10.067,1,0.024,6.209,0.042,,,6.209,0.042,,AWI0005zil,J055417.57-383951.1,11.312,,,,,,,
AWI00062gz,223167,J234708.47+153903.2,A0,8.57,0.02,8.65,0.01,-0.08,,8.59,0.02,8.66,0.01,,,8.712,0.023,1.725,0.078,,,8.614,0.024,8.614,1,0.024,6.889,0.074,,,6.889,0.074,,AWI00062gz,J234708.47+153903.2,8.712,,,,,,,
AWI0006207,195805,J203711.08-650159.9,B8/9V,6.62,0.01,6.69,0.01,-0.07,,6.63,0.02,6.7,0.01,,,6.755,0.026,0.470,0.069,,,6.744,0.037,6.740,1.0085776,0.037,6.27,0.058,,,6.27,0.058,,AWI0006207,J203711.08-650159.9,6.755,,,,,,,
AWI0005w6c,8731,J012650.26+454038.8,,7.48,0.01,7.55,0.01,-0.07,,7.49,0.02,7.56,0.01,,,7.596,0.020,1.006,0.078,,,7.625,0.025,7.626,1.004525,0.025,6.62,0.074,,,6.62,0.074,,AWI0005w6c,8731,J012650.26+454038.8,7.596,0.020,,,,,
AWI0005cwg,98457,J111925.92-301922.9,ApSi,7.88,0.01,7.94,0.01,-0.06,,7.89,0.02,7.95,0.01,7.974,0.004,7.989,0.030,1.940,0.070,,,8.031,0.023,8.031,1,0.023,6.091,0.066,,,6.091,0.066,,AWI0005cwg,J111925.92-301922.9,7.989,,,,,,,
AWI0000ns8,208612,J215739.35-083351.4,,6.74,0.01,6.8,0.01,-0.06,,6.75,0.02,6.81,0.01,,,6.837,0.024,1.316,0.055,,,6.672,0.04,6.667,1.0089088,0.040,5.351,0.038,,,5.351,0.038,,AWI0000ns8,208612,J215739.35-083351.4,6.837,0.024,,,,,
AWI0000phs,207888,J215221.25-031028.9,,6.55,0.01,6.6,0.01,-0.05,,6.56,0.02,6.61,0.01,,,6.688,0.026,1.139,0.057,,,6.689,0.036,6.684,1.0088306,0.036,5.483,0.041,5.544745,0.043407854,5.544745,0.043407854,,AWI0000phs,207888,J215221.25-031028.9,6.688,0.026,,,,,
AWI0000tjx,141268,J154709.73+303356.0,,7.74,0.01,7.78,0.01,-0.04,,7.75,0.02,7.79,0.01,,,7.852,0.018,0.665,0.081,,,7.891,0.022,7.893,1.0033014,0.022,7.228,0.078,,,7.228,0.078,,AWI0000tjx,141268,J154709.73+303356.0,7.852,0.018,,,,,
AWI0005abb,213208,J222653.92+733429.0,,7.86,0.01,7.9,0.01,-0.04,,7.97,0.02,7.91,0.01,7.924,0.001,7.910,0.018,1.074,0.070,,,7.935,0.023,7.938,1.003099,0.023,6.864,0.066,,,6.864,0.066,,AWI0005abb,213208,J222653.92+733429.0,7.910,0.018,,,,,
AWI0005ym7,23873,J034921.76+242251.0,,6.563,0.015,6.586,0.01,-0.023,,6.566,0.019,6.59,0.01,6.637,0.00049,6.602,0.017,1.206,0.055,,,6.635,0.04,6.630,1.009079,0.040,5.424,0.037,,,5.424,0.037,,AWI0005ym7,23873,J034921.76+242251.0,6.602,0.017,,,,,
AWI00019fp,204905,J212952.96+525601.9,,7.22,0.01,7.24,0.01,-0.02,,7.22,0.02,7.24,0.01,,,7.146,0.023,0.605,0.061,,,7.161,0.029,7.160,1.0066594,0.029,6.555,0.054,,,6.555,0.054,,AWI00019fp,204905,J212952.96+525601.9,7.146,0.023,,,,,
AWI00004o8,      ,J165204.85+145827.2,,6.473,0.014,6.488,0.01,-0.015,,6.47,0.02,6.49,0.01,,,6.504,0.034,0.475,0.063,,,6.561,0.034,6.555,1.0094194,0.034,6.08,0.053,,,6.08,0.053,,AWI00004o8,      ,J165204.85+145827.2,6.504,0.034,,,,,
AWI0005yjp,14893,J022515.75+370707.9,,7.323,0.015,7.336,0.011,-0.013,,7.32,0.02,7.34,0.01,,,7.341,0.018,1.096,0.066,,,7.404,0.027,7.404,1.0055416,0.027,6.308,0.06,,,6.308,0.06,,AWI0005yjp,14893,J022515.75+370707.9,7.341,0.018,,,,,
AWI0005brt,168742,J182004.41+292653.3,,8.03,0.01,8.04,0.01,-0.01,,8.03,0.02,8.04,0.01,8.055,0.002,7.961,0.018,0.838,0.098,,,7.985,0.022,7.988,1.002869,0.022,7.15,0.095,,,7.15,0.095,,AWI0005brt,168742,J182004.41+292653.3,7.961,0.018,,,,,
AWI000600n,29554,J043852.53-081329.6,,7.25,0.01,7.26,0.01,-0.01,,7.25,0.02,7.26,0.01,7.295,0.001,7.261,0.023,0.681,0.071,,,7.27,0.03,7.269,1.006158,0.030,6.588,0.064,,,6.588,0.064,,AWI000600n,29554,J043852.53-081329.6,7.261,0.023,,,,,
AWI00000lj,      ,J162754.20+061441.3,,,,,,0,,,,,,,,8.510,0.026,1.204,0.055,,,7.201,0.028,7.200,1.0064754,0.028,5.996,0.047,,,5.996,0.047,,AWI00000lj,      ,J162754.20+061441.3,8.510,0.026,,7.782,,5.761,2.021
AWI00000to,      ,J173832.90+425112.9,,,,,,0,,,,,,,,8.223,0.020,1.249,0.053,,,7.012,0.032,7.010,1.0073448,0.032,5.761,0.042,,,5.761,0.042,,AWI00000to,      ,J173832.90+425112.9,8.223,0.020,,7.782,7.782,,
AWI000028h,      ,J165556.61+241554.0,,,,,,0,,,,,,,,12.414,0.026,4.586,0.098,,,11.676,0.022,11.676,1,0.022,7.09,0.095,,,7.09,0.095,,AWI000028h,      ,J165556.61+241554.0,12.414,0.026,,,,,
AWI000034n,      ,J164021.30+075004.8,,,,,,0,,,,,,,,8.131,0.026,1.273,0.053,,,6.773,0.038,6.769,1.0084442,0.038,5.496,0.037,,,5.496,0.037,,AWI000034n,      ,J164021.30+075004.8,8.131,0.026,,,,,
AWI00004c1,      ,J161241.51+054140.8,,,,,,0,,,,,,,,9.697,0.021,1.118,0.109,,,8.364,0.022,8.364,1,0.022,7.246,0.107,,,7.246,0.107,,AWI00004c1,      ,J161241.51+054140.8,9.697,0.021,,7.139,-7.139,,
AWI00005ko,      ,J165920.60+131219.3,,,,,,0,,,,,,,,13.078,0.025,4.196,0.071,,,10.978,0.023,10.978,1,0.023,6.782,0.067,,,6.782,0.067,,AWI00005ko,      ,J165920.60+131219.3,13.078,0.025,,,,,
AWI0000jvv,      ,J003507.14+070625.0,,,,,,0,,,,,,,,8.142,0.019,2.014,0.048,,,6.94,0.033,6.937,1.007676,0.033,4.923,0.035,,,4.923,0.035,,AWI0000jvv,      ,J003507.14+070625.0,8.142,0.019,,,,,
AWI0000qox,      ,J020359.52+141132.3,,,,,,0,,,,,,,,8.011,0.023,0.967,0.056,,,6.789,0.037,6.785,1.0083706,0.037,5.818,0.042,,,5.818,0.042,,AWI0000qox,      ,J020359.52+141132.3,8.011,0.023,,,,,
AWI0000s7e,      ,J103639.10+441425.8,,,,,,0,,,,,,,,12.668,0.023,5.947,0.062,,,12.282,0.024,12.282,1,0.024,6.335,0.057,,,6.335,0.057,,AWI0000s7e,      ,J103639.10+441425.8,12.668,0.023,,,,,
AWI0000t35,      ,J153456.23+335145.2,,,,,,0,,,,,,,,10.072,0.021,1.480,0.103,,,8.88,0.023,8.880,1,0.023,7.4,0.1,,,7.4,0.1,,AWI0000t35,      ,J153456.23+335145.2,10.072,0.021,,,,,
